text,keywords,label
F1赛车手库卡比：除非我撞死了，否则我会一直开下去,"Renault,雷诺车队,领航员,拉力赛,Sport,F1,车手,库比卡
",news_car
今日淘汰鸡价格稳定，2018年5月8日淘汰鸡价格行情,"黑龙江,湖北,天津,内蒙古,淘汰鸡价格
",news_agriculture
那些涌进中国整车制造圈的“外行”们,"新能源汽车,国机汽车,新能源整车生产项目,比亚迪,观致汽车,特斯拉,五粮液,新能源,五粮液集团
",news_car
上句是：天星满地风吹落，如何接下句？,"
",news_culture
上联：悠悠小溪唱欢歌，如何对下联？,"
",news_culture
为什么那么多人开始黑靳东？,"审美疲劳,靳东,我的前半生,外科风云,老干部,欢乐颂,伪装者,精绝古城,金星秀
",news_entertainment
骚男情商到底有多高？卡特拿全队最高人头，仍谦虚表示没发挥好,"LOL,英雄联盟,表演赛,骚男直播,周杰伦
",news_game
2018年小程序爆发，为我们带来了那些好的机遇？,"摩拜单车,程序,智能硬件,互联网公司
",news_tech
国产独立游戏失落城堡销量20万+，能带来什么启示？,"
",news_game
2018金秀瑶族自治县圣堂山杜鹃花旅游文化节推介会在南宁召开,"金秀瑶族自治县圣堂山杜鹃花旅游文化节,金秀,金秀瑶族自治县,金秀瑶族自治县圣堂山杜鹃花旅游,圣堂山杜鹃花旅游文化节
",news_travel
月入5000元买什么轿车好？,"
",news_car
「观察」考考你，德甲射手榜2至5名你认识几个？,"德甲,拜仁,弗赖堡,汉诺威,彼得森,踢球者
",news_sports
5月13号英雄联盟MSI，RNG直面欧美两大战队！RNG晋级前景怎样？,"
",news_game
大地院线控股股东质押450万股 为6000万元贷款作担保,"文化科技融资担保有限公司,大地时代文化传播,控股股东,北京银行,院线,大地院线
",news_finance
如何根据自己的特点选择篮球鞋？,"
",news_sports
中佳保险与平安健康达成战略合作 共创共赢携手辉煌,"保险代理,健康保险,北京保险中介行业协会,张亚兰,张守春
",news_finance
双色球2018053期自我研究,"双色球
",news_sports
新疆鹿角湾风景区你值得去的避暑圣地,"沙湾县,阿依古丽,梅花鹿,天山,鹿角湾风景区
",news_travel
世乒赛完美落幕，五月还有这些精彩赛事不容错过！,"张继科,林高远,刘诗雯,国乒,王曼昱
",news_sports
炒房客的三大法宝，原来房价是这么被推高的？,"流通盘,炒房客,学区房,炒房团,漳州
",news_house
看到雷军就想到小米，看到华为想不到谁！为什么？,"小米,创始人,品牌形象,雷军,任正非
",news_tech
如果朱婷下赛季将回国落户天津参加排超联赛，与李莹盈双剑合璧，对此你期待吗？,"
",news_sports
赵丽颖后背凸起，杨幂头部擦伤，论拍戏受伤，迪丽热巴最让人心疼,"烈火如歌,娱乐圈,张彬彬,迪丽热巴,赵丽颖
",news_entertainment
一封公开信，以美菜为例看雷军的英雄主义,"刘传军,雷军,美菜,公开信,美菜网
",news_tech
没有大牌外援的中国联赛，你还会看吗？,"足球,伊涅斯塔,足协,卡拉斯科,中超
",news_sports
昆凌晒周杰伦视角美照大秀好身材 马甲线抢镜上围更吸睛,"昆凌,周杰伦,美照
",news_entertainment
又一款刚发售2天就破百万销量的游戏，你不玩玩吗？,"游戏,平方千米,流放者柯南
",news_game
四川10辆越野车穿越罗布泊无人区 管理局：涉嫌违法,"保护区,罗布泊野骆驼,探险者,越野车,无人区,罗布泊,自然保护区条例
",news_car
如何看待张召忠将军说到日本都做不出像国产C919这样的大飞机的观点？,"
",news_military
特朗普所做的一切会不会只是为了自己的商业帝国？,"
",news_house
叙中部几乎全部重归政府军 反对派撤离,"叙利亚自由军,大马士革,反对派武装,巴勒斯坦,伊斯兰国
",news_world
张掖市农业信息中心在高台开展12316热线宣传活动,"张掖市,高台县,三农,水之印,农业
",news_agriculture
在互联网的世界里，你是，如何理解“互动营销”这个词的？,"
",news_tech
卢靖姗亮相戛纳电影节，白色礼裙如异域公主，网友：大腿很敦实,"韩庚,粉丝,电影,战狼2,绿箭侠,卢靖姗,戛纳电影节
",news_entertainment
现在手机拍照比过单反吗？,"
",news_tech
花木兰用什么符文好点？,"
",news_game
美国为什么要在全世界搅局？,"
",news_world
五一过后的南京夫子庙景区，人少了但风景依然很美,"水泄不通,观赏秦淮河两岸,美景夫子庙旅游船,灯会,人山人海挤
",news_travel
遇见大千款作品,"
",news_culture
60岁老人独守海岛灯塔40年，从稚气未脱的少年到如今的白发苍苍,"补给船,老周,朝连岛,周成祥,灯塔
",news_military
38岁柳岩只不过换了个新发型，竟美得这么脱俗，网友直呼：认不出,"半身裙,柳岩,新发型,衬衫,发型
",news_entertainment
以色列警告称如果战机被击落将会轰炸俄军事基地，你怎么看？,"
",news_military
求是·新理想高复：浙江一、二、三段考生都去了哪上大学？,"华东地区,华中地区,浙江考生,双一流,浙江省
",news_edu
2018年5月中国高校ESI最新排名发布，如何看待苏州大学的排名？,"
",news_edu
惠若琪微博晒与众娱乐明星同框照，网友：真幸福,"
",news_entertainment
对于《魔兽世界》整个7.0版本的吐槽：都是万恶之源机制的锅,"英雄联盟,阿古斯,游戏,魔兽世界
",news_game
《巫师3》增强版MOD公布 带来真实迷人的游戏体验,"增强版,杰洛特,Esq,巫师3,Witcher
",news_game
有限合伙协议,"合伙企业法,中华人民共和国合伙企业法,公司章程,执行事务合伙人,有限合伙人,有限合伙,出资,投资项目,合伙企业
",news_finance
在城市巷战中，什么轻重武器比较好用？,"
",news_military
“西三角”网红城市，谁更吸粉，谁更吸金？,"旅游收入,重庆,洪崖洞,五一,成都
",news_travel
美国是如何监控全球是否有洲际导弹发射的？,"铺路爪,导弹预警卫星,相控阵,发射,DSP
",news_military
如何理解农村老话“桌上莫摆三盘菜，六人莫坐乌龟席”？,"
",news_culture
马云对话周星驰，两年后房子如葱，你觉得可能嘛？,"马云,电影,周星驰
",news_tech
谷歌大会传言汇总：可穿戴变奢侈品 流媒体游戏比iOS更好玩,"Wear OS,Lens,Android Wear,Oreo,谷歌
",news_tech
联想在5Ｇ制定标准上把票投给高通导致华为丢失标准，你怎么看？,"
",news_tech
华为手机拍照一定要打开这个开关，立马清晰20倍，不用白白浪费了,"华为手机拍照,华为手机
",news_tech
曾是成都五星酒店人的小两口，隐于斯里兰卡康提，经营一间小客栈,"客人,康提,成都,印度，不可思议,Paradise,斯里兰卡
",news_travel
关晓彤开挂不输奚梦瑶！范冰冰又失手，高定裙不如“赘肉”抢镜！,"红毯,江湖儿女,奚梦瑶,范冰冰,关晓彤,戛纳
",news_entertainment
刘强东把京东交给你，一天之后收回，你会干什么？,"
",news_tech
银行说我在广东办了一张银行卡，如果注销那张卡必须本人到广东的银行去，这种情况怎么办？,"中国银行,信用卡,银行,股份制,储蓄卡,建设银行,工商银行,农业银行
",news_finance
达芬奇设计的携带16门大炮的轰炸机，简直是500年前战争开挂神器,"网络小说,爱因斯坦,轰炸机,相对论,达芬奇
",news_military
微信转账怎么使用？,"二维码,界面,条形码,微信,红包
",news_tech
上海润达医疗科技股份有限公司重大资产重组进展公告,"上海证券交易所股票上市规则,事项,信息披露,重大资产重组进展公告,重组,资产,资产重组,重大资产重组停牌公告,润达医疗
",news_finance
李浩菲回应挡岳云鹏镜头号啕大哭惹人心疼，但故意挂网友太败好感,"大本营,快乐大本营,岳云鹏,李浩菲,金刚心,湖南卫视
",news_entertainment
如何评价日本乒乓球手伊藤美诚？,"
",news_sports
方舟子说象棋源自印度，中国古代没有大象，你认为这种说法怎么样？,"
",news_culture
推荐恐怖电影十大排行榜？,"危情十日,恐怖电影,丧尸片,电锯惊魂,金刚,电影,逃出绝命镇,恐怖游轮,群尸玩过界,看见恶魔,恐怖片,迷雾,韩国电影
",news_entertainment
娱乐圈里面的不老女神，但在她的面前根本就不是什么事儿,"范冰冰,娱乐圈,林心如,潘迎紫,陈乔恩
",news_entertainment
每日一游丨地狱是啥样的？《地狱点点工厂》刷新你的三观！,"点杀泰坦,苹果,BUFF,地狱点点工厂,游戏,爆炒江湖
",news_game
NBA中有没有因为睡过头或忘记这天还有比赛，没有参加比赛的情况？,"NBA,直升飞机,霍华德,自行车,球馆
",news_sports
合发全球万百万应邀出席2018创新中国品牌高峰论坛,"中国品牌,钓鱼台国宾馆
",news_finance
「大圣 · 点金」0509周三操作策略参考,"沙河股份,小黑屋,核按钮
",news_finance
你认为真的会有穿越时间的点么？,"
",news_travel
「异乡好居」休斯顿买房之为何要投资休斯顿房产？,"休斯顿,美国新闻与世界报道,休斯敦,投资休斯顿,休斯顿房产,投资休斯顿房产
",news_house
范冰冰墨镜红唇携新片《355》启程戛纳 出演超级女特工,"新片,现身,知名导演西蒙·金,伯格,行将出席戛纳电影节开幕红毯
",news_entertainment
婚姻期间一方在不知情的情况下欠债，另一方需要偿还吗？,"
",news_house
中国禁止美国洋垃圾入境，美国头疼不已！声称：那就免费送吧！,"俄罗斯,洋垃圾,议论纷纭,美国,固体废物
",news_world
张馨予与范冰冰哪一个更让人着迷？,"武媚娘,思美人,花谢花飞花满天,张馨予,还珠格格,萍踪侠影,武媚娘传奇,苏妲己,我不是潘金莲,范冰冰,杨玉环,封神榜,少年包青天,小鱼儿与花无缺
",news_entertainment
没带驾驶证算无证驾驶吗？,"
",news_car
有哪些可以赚钱的兼职？,"
",news_finance
女星红毯礼服大比拼，少女幂江一燕钟楚曦都不如陪老公出席的她,"晚礼服,女明星,电影节,红毯礼服,一字肩
",news_entertainment
一位股市天才终于开口：精准买卖信号图，值得散户阅读千遍,"股价,庄家,股市,股票,成交量,跳空低开,炒股
",news_finance
想不到T-90坦克还有这个用途，被印军发现了,"坦克,印度,万国牌,印军,T-90
",news_military
特朗普为什么可以随意废除此前美国政府达成的各种协议？,"
",news_world
哈苏是如何通过免费固件升级让相机功能再高一个层次的？,"
",news_tech
今年的新秀塔图姆，米切尔，和二年级新生西蒙斯，会不会组成曾经的“雷霆”三少呢？,"
",news_sports
反卫星武器都有哪些类型？,"
",news_military
没说真不知道的国产车，比奔驰宝马漂亮，15万有点奥迪A6L的感觉,"宝马5系,GCCS,广汽传祺,奔驰E级,GA8,传祺GA8
",news_car
重庆大学城有茶艺师培训学校吗？,"
",news_edu
埃神晒与奥斯卡合影并调侃道：永远是你大哥,"奥斯卡,亚冠,胡尔克,埃尔克森,进球数
",news_sports
「实验小学专用」2018年部编人教版小学数学总复习知识概念大全！,"实验小学,毕业班,复习知识,小丘老师,人教版
",news_edu
qq飞车手游：青山1000零几第一时间抽出璀璨之星，教你玄学抽奖,"青山,qq飞车,手游
",news_game
越南战争时美国实力远超越南，为何最后仍然会战败？,"
",news_world
很多枪械一用就是几十年，为何很久都不会更新换代？,"制海权,轻机枪,麦德森,AK47,枪械
",news_military
人人都做纸尿裤,"花王,纸尿裤市场,微商,纸尿裤品牌,帮宝适
",news_tech
俄罗斯老兵在阅兵仪式中被保安推开，普京发现后立刻邀请他一起为烈士献花，你怎么看？,"
",news_military
如何评价《是真的吗》主持人黄西？,"
",news_entertainment
黄金周三晚间还是震荡，原油奉行低多原则,"原油,黄金
",news_finance
资本家的资本是怎样来的？,"
",news_finance
加密货币社区彼此互不兼容,"Ripple,加密社区,加密,IOTA,加密货币
",news_world
如果哈登夺得总冠军拿下FMVP，能不能取代库里成为09年最好的选秀？,"
",news_sports
20到30万的车，除了皇冠还有什么好车推荐？,"
",news_car
堡垒之夜：PVE每日任务：摧毁任务地点大全,"跷跷板,泰迪熊,游戏机,电视机,玩家摧毁
",news_game
国产航母新提升，新航母和辽宁号有什么提升，带你来看！,"辽宁舰,瓦良格号,指挥所,飞行甲板,艘国产航母
",news_military
唐嫣出席某活动，网友：是你头太大，还是你肩膀窄,"唐嫣,肩膀窄唐嫣出席
",news_entertainment
中国好声音第一期学员大盘点,"电影,中国好声音,跨年晚会,火爆程度,谢霆锋
",news_entertainment
二手车市场需要规范的细节,"二手车,二手车交易,服务费,售后服务,诚信度
",news_car
第一学历有多重要，值得付出60万和两年的光阴吗？,"
",news_edu
考生注意！倒计时一个月，今年高考有这些新变化！,"高考加分,高校招生,奥林匹克竞赛,录取批次,考试院
",news_edu
跨越时空的史诗级小前锋对决，巅峰皮蓬能否防住杜兰特,"小前锋,NBA,阿杜,皮蓬,杜兰特
",news_sports
首艘国产航母 “亲儿子”就是不一样 就等他下水海试了,"001A新型航母,世界强国,辽宁舰,保卫和平,俄罗斯
",news_military
“姐，兔子还不吃窝边草呢，你就这么明着抢我老公？”,"若无其事,气不忿,窝边草
",news_story
优步自动驾驶致死案：硬件已看见，软件决定不反应,"驾驶汽车,优步,自动驾驶汽车,Safety,XC90,福特Fusion,自动驾驶,沃尔沃,沃尔沃XC90,福特
",news_car
中国股市带血的经验：谨记以下K线形态，再忙也要花几分钟学习！,"颈线位,圆弧顶,上海梅林,头肩顶,MACD,K线,亿阳信通,K线图,开盘价,收盘价
",news_finance
喜好收藏的中国老头儿 在美国跳蚤市场的捡漏经历,"跳蚤市场,老朽,文物,捡漏,古玩
",news_travel
马苏出席某活动，网友：马漂亮美出新高度,"马苏出席,马苏,马漂亮美出新
",news_entertainment
51返呗品牌升级，正式更名爱上街，发力人工智能和联盟链,"阿拉丁,消费金融,爱上街,上街,实验室
",news_tech
《荒野行动》中，M4和SCAR哪个更稳？,"
",news_game
以色列宣称有秘密文件证明伊朗在核协议方面撒谎，你认为有多高可信度？,"
",news_world
马竞不应该抱怨巴萨引诱格列兹曼，他们自己也经常这么干,"巴萨,巴尔韦德,格列兹曼,马竞,欧联杯
",news_sports
前海开源中航军工指数分级证券投资基金招募说明书（更新）摘要,"摩根大通,运作办法,美国银行,基金经理,基金管理有限公司,基金管理人,基金法,军工指数,海王生物,内部控制,经济研究,托管业务,华夏证券,前海开源基金,中信证券,证券投资基金,前海开源基金管理有限公司,基金托管人,华泰证券,中国银河
",news_finance
梅根·马克尔｜一张彩票，送她走上英国王妃之路,"金装律师,白马王子,私立学校,英国王室,哈里王子,同父异母
",news_world
《DNF》玩家调侃：20个剑帝打安图恩，美都能把乌龟给美死！,"dnf,剑帝
",news_game
如果王者荣耀一个玩家只有5个英雄却上了钻石，仅有的五个英雄都被选了之后，会怎么样？,"安琪拉,游戏,玩家
",news_game
你对联想在5G标准投标中的表现怎么看？,"
",news_finance
广州恒大2-2平华夏幸福，近4场不胜，平队史最差纪录！,"河北华夏幸福,广州恒大,中超联赛,埃尔纳内斯,高拉特
",news_sports
与高纬度的同类比，热带鸣禽每窝的产卵量应该是多还是少呢？,"
",news_travel
java培训多少钱？,"
",news_tech
范冰冰戛纳红毯成车祸现场 没精修过的范冰冰吓倒一众记者,"范冰冰,戛纳,牛鬼蛇神,红毯,范爷
",news_entertainment
